material,year,month,price
cement,2020,01,282.25
cement,2020,02,284.75
cement,2020,03,288.98
cement,2020,04,293.27
cement,2020,05,295.43
cement,2020,06,299.41
cement,2020,07,301.04
cement,2020,08,304.58
cement,2020,09,304.33
cement,2020,10,303.55
cement,2020,11,309.58
cement,2020,12,311.53
cement,2021,01,315.28
cement,2021,02,315.57
cement,2021,03,314.88
cement,2021,04,315.85
cement,2021,05,319.58
cement,2021,06,316.26
cement,2021,07,319.38
cement,2021,08,323.88
cement,2021,09,323.96
cement,2021,10,327.24
cement,2021,11,330.32
cement,2021,12,330.49
cement,2022,01,332.72
cement,2022,02,335.34
cement,2022,03,335.54
cement,2022,04,337.23
cement,2022,05,339.86
cement,2022,06,343.4
cement,2022,07,351.53
cement,2022,08,351.58
cement,2022,09,358.25
cement,2022,10,358.56
cement,2022,11,361.42
cement,2022,12,366.93
cement,2023,01,371.13
cement,2023,02,367.38
cement,2023,03,373.42
cement,2023,04,377.33
cement,2023,05,378.76
cement,2023,06,381.42
cement,2023,07,385.69
cement,2023,08,390.44
cement,2023,09,395.13
cement,2023,10,396.25
cement,2023,11,399.39
cement,2023,12,400.18
cement,2024,01,405.57
cement,2024,02,408.12
cement,2024,03,412.62
cement,2024,04,414.46
cement,2024,05,418.02
cement,2024,06,420.82
cement,2024,07,420.73
cement,2024,08,427.2
cement,2024,09,432.52
cement,2024,10,432.37
cement,2024,11,433.49
cement,2024,12,435.26
