material,year,month,price
copper,2024,12,134.456
copper,2024,11,136.461
copper,2024,10,136.161
copper,2024,09,133.227
copper,2024,08,132.59
copper,2024,07,136.826
copper,2024,06,141.526
copper,2024,05,141.102
copper,2024,04,131.454
copper,2024,03,125.396
copper,2024,02,123.67
copper,2024,01,123.222
copper,2023,12,122.444
copper,2023,11,120.845
copper,2023,10,120.841
copper,2023,09,122.254
copper,2023,08,122.454
copper,2023,07,122.565
copper,2023,06,122.552
copper,2023,05,123.687
copper,2023,04,128.155
copper,2023,03,129.229
copper,2023,02,129.897
copper,2023,01,127.284
copper,2022,12,122.921
copper,2022,11,121.984
copper,2022,10,115.916
copper,2022,09,119.902
copper,2022,08,119.351
copper,2022,07,121.415
copper,2022,06,132.489
copper,2022,05,134.387
copper,2022,04,138.442
copper,2022,03,135.597
copper,2022,02,132.27
copper,2022,01,130.781
copper,2021,12,127.982
copper,2021,11,131.231
copper,2021,10,129.589
copper,2021,09,129.747
copper,2021,08,130.011
copper,2021,07,129.694
copper,2021,06,130.6
copper,2021,05,127.6
copper,2021,04,118.8
copper,2021,03,116.0
copper,2021,02,108.9
copper,2021,01,107.6
copper,2020,12,104.9
copper,2020,11,98.8
copper,2020,10,97.0
copper,2020,09,96.1
copper,2020,08,94.2
copper,2020,07,90.5
copper,2020,06,86.3
copper,2020,05,83.8
copper,2020,04,83.8
copper,2020,03,85.9
copper,2020,02,87.7
copper,2020,01,90.1
