material,year,month,price
lumber,2024,12,211.191
lumber,2024,11,209.845
lumber,2024,10,205.63
lumber,2024,09,204.118
lumber,2024,08,201.108
lumber,2024,07,197.734
lumber,2024,06,200.161
lumber,2024,05,200.715
lumber,2024,04,204.32
lumber,2024,03,202.081
lumber,2024,02,199.561
lumber,2024,01,197.793
lumber,2023,12,193.48
lumber,2023,11,190.029
lumber,2023,10,195.26
lumber,2023,09,204.004
lumber,2023,08,203.405
lumber,2023,07,216.611
lumber,2023,06,204.095
lumber,2023,05,207.393
lumber,2023,04,205.917
lumber,2023,03,208.419
lumber,2023,02,210.577
lumber,2023,01,208.232
lumber,2022,12,208.916
lumber,2022,11,217.434
lumber,2022,10,222.396
lumber,2022,09,229.519
lumber,2022,08,240.509
lumber,2022,07,251.761
lumber,2022,06,250.477
lumber,2022,05,317.475
lumber,2022,04,306.97
lumber,2022,03,362.242
lumber,2022,02,344.252
lumber,2022,01,328.412
lumber,2021,12,274.379
lumber,2021,11,234.466
lumber,2021,10,225.318
lumber,2021,09,213.645
lumber,2021,08,220.877
lumber,2021,07,267.218
lumber,2021,06,367.3
lumber,2021,05,381.7
lumber,2021,04,322.9
lumber,2021,03,303.8
lumber,2021,02,285.0
lumber,2021,01,276.0
lumber,2020,12,241.6
lumber,2020,11,218.5
lumber,2020,10,253.1
lumber,2020,09,272.8
lumber,2020,08,226.2
lumber,2020,07,199.8
lumber,2020,06,185.8
lumber,2020,05,173.6
lumber,2020,04,168.0
lumber,2020,03,183.8
lumber,2020,02,177.7
lumber,2020,01,173.1
